Incidents of Drug offences from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
New South Wales,Up 1.4% per year,46824,612.5,46567,599.7,46640,590.5,48923,612.4,51732,647.6
Liverpool,Stable,1345,647.6,1134,531.6,1103,503.8,1367,612.2,2764,1237.8
Albury,Stable,647,1253.7,606,1159.3,317,595.6,509,946.7,431,801.6
Armidale Regional,Stable,212,701.4,242,796.9,149,486.3,184,599.2,193,628.5
Ballina,Stable,161,378.5,208,482.4,127,290.5,182,411.7,253,572.3
Balranald,n.c.,24,n.c.,17,n.c.,12,n.c.,23,n.c.,29,n.c.
Bathurst Regional,Up 14.6% per year,166,397.0,186,438.6,197,459.0,220,509.2,296,685.1
Bayside,Down 4.2% per year,867,540.1,853,514.8,862,503.2,755,433.0,793,454.8
Bega Valley,Down 7.1% per year,165,488.7,139,409.2,115,336.5,129,375.6,125,363.9
Bellingen,Stable,78,602.8,61,471.0,82,633.0,61,470.6,75,578.6
Berrigan,Stable,91,1061.5,100,1161.0,88,1015.0,123,1412.7,93,1068.1
Blacktown,Up 4.8% per year,1247,365.2,1254,358.2,1235,343.1,1584,432.2,1614,440.3
Bland,n.c.,16,265.5,27,448.7,33,551.2,40,668.3,20,334.2
Blayney,n.c.,22,300.3,24,326.7,19,258.6,24,326.9,25,340.5
Blue Mountains,Stable,223,282.7,171,216.7,215,271.8,220,277.6,239,301.5
Bogan,n.c.,12,n.c.,19,n.c.,20,n.c.,15,n.c.,32,n.c.
Bourke,n.c.,46,n.c.,48,n.c.,26,n.c.,60,n.c.,35,n.c.
Brewarrina,n.c.,12,n.c.,15,n.c.,7,n.c.,12,n.c.,40,n.c.
Broken Hill,Up 14.6% per year,113,617.5,163,901.3,157,880.3,216,1218.0,189,1065.7
Burwood,Up 18.7% per year,89,234.0,111,287.0,79,200.1,198,496.4,185,463.8
Byron,Stable,777,2355.4,446,1330.8,725,2119.6,885,2559.7,999,2889.5
Cabonne,n.c.,17,125.5,18,132.5,17,124.7,14,102.3,17,124.3
Camden,Stable,579,770.1,546,667.9,636,717.2,554,588.4,636,675.5
Campbelltown,Down 4.0% per year,1028,645.4,980,604.3,874,528.6,947,563.2,923,549.0
Canada Bay,Stable,163,179.1,171,184.0,156,165.1,184,193.4,242,254.3
Canterbury-Bankstown,Stable,1671,467.4,1708,470.0,1814,490.7,1850,494.7,1778,475.5
Carrathool,n.c.,11,n.c.,10,n.c.,10,n.c.,19,n.c.,10,n.c.
