Incidents of Homicide from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
New South Wales,Stable,107,1.4,104,1.3,83,1.1,110,1.4,112,1.4
Liverpool,n.c.,4,1.9,4,1.9,3,1.4,3,1.3,5,2.2
Albury,n.c.,0,0.0,3,5.8,0,0.0,1,1.9,1,1.9
Armidale Regional,n.c.,0,0.0,0,0.0,1,3.3,0,0.0,0,0.0
Ballina,n.c.,0,0.0,1,2.3,0,0.0,1,2.3,2,4.5
Balranald,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Bathurst Regional,n.c.,2,4.8,0,0.0,0,0.0,1,2.3,0,0.0
Bayside,n.c.,0,0.0,1,0.6,1,0.6,1,0.6,0,0.0
Bega Valley,n.c.,2,5.9,0,0.0,0,0.0,2,5.8,1,2.9
Bellingen,n.c.,0,0.0,1,7.7,0,0.0,0,0.0,0,0.0
Berrigan,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Blacktown,n.c.,10,2.9,5,1.4,6,1.7,3,0.8,5,1.4
Bland,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Blayney,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Blue Mountains,n.c.,0,0.0,1,1.3,0,0.0,0,0.0,1,1.3
Bogan,n.c.,3,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Bourke,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Brewarrina,n.c.,1,n.c.,1,n.c.,0,n.c.,0,n.c.,0,n.c.
Broken Hill,n.c.,1,5.4,0,0.0,0,0.0,0,0.0,0,0.0
Burwood,n.c.,0,0.0,0,0.0,1,2.5,1,2.5,0,0.0
Byron,n.c.,0,0.0,0,0.0,1,2.9,0,0.0,0,0.0
Cabonne,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Camden,n.c.,0,0.0,0,0.0,0,0.0,1,1.1,0,0.0
Campbelltown,n.c.,3,1.9,5,3.1,2,1.2,2,1.2,3,1.8
Canada Bay,n.c.,0,0.0,2,2.1,1,1.1,0,0.0,1,1.1
Canterbury-Bankstown,n.c.,6,1.7,14,3.9,6,1.6,5,1.3,4,1.1
Carrathool,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Central Coast,n.c.,12,3.6,3,0.9,8,2.4,4,1.2,6,1.8
Central Darling,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Cessnock,n.c.,0,0.0,0,0.0,0,0.0,1,1.7,1,1.7
Clarence Valley,n.c.,0,0.0,0,0.0,0,0.0,4,7.7,0,0.0
Cobar,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Coffs Harbour,n.c.,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0
Coolamon,n.c.,1,22.8,0,0.0,2,45.5,0,0.0,0,0.0
Coonamble,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cootamundra-Gundagai,n.c.,1,8.8,0,0.0,0,0.0,0,0.0,0,0.0
Cowra,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cumberland,n.c.,1,0.5,5,2.2,6,2.6,5,2.1,8,3.4
Dubbo Regional,n.c.,1,2.0,1,1.9,0,0.0,0,0.0,1,1.9
Dungog,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,1,10.7
Edward River,n.c.,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0
Eurobodalla,n.c.,0,0.0,1,2.6,0,0.0,0,0.0,2,5.2
Fairfield,n.c.,5,2.5,4,1.9,0,0.0,6,2.8,5,2.4
Federation,n.c.,0,0.0,0,0.0,1,8.0,0,0.0,0,0.0
Forbes,n.c.,0,0.0,1,10.2,2,20.3,0,0.0,0,0.0
Georges River,n.c.,2,1.3,0,0.0,2,1.3,1,0.6,2,1.3
Gilgandra,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Glen Innes Severn,n.c.,0,0.0,0,0.0,0,0.0,1,11.2,0,0.0
Goulburn Mulwaree,n.c.,0,0.0,0,0.0,0,0.0,1,3.2,0,0.0
Greater Hume Shire,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,1,9.4
Griffith,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gunnedah,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gwydir,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,1,18.7
Hawkesbury,n.c.,1,1.5,0,0.0,0,0.0,1,1.5,0,0.0
Hay,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Hilltops,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hornsby,n.c.,3,2.0,2,1.4,0,0.0,3,2.0,0,0.0
