Incidents of Sexual offences from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
New South Wales,Up 3.2% per year,12215,159.7,12571,161.8,13617,172.4,14183,177.5,14496,181.5
Liverpool,Stable,276,132.8,355,166.6,344,157.0,358,160.3,338,151.4
Albury,Stable,125,242.0,145,276.1,122,229.4,137,254.8,165,306.9
Armidale Regional,Up 12.9% per year,60,198.5,77,253.1,65,212.2,115,374.5,99,322.4
Ballina,Stable,71,166.8,58,134.5,60,137.5,76,171.9,68,153.8
Balranald,n.c.,6,n.c.,5,n.c.,0,n.c.,5,n.c.,5,n.c.
Bathurst Regional,Stable,98,234.5,102,240.4,119,277.4,105,243.0,119,275.4
Bayside,Up 8.1% per year,131,81.5,136,81.9,175,102.2,158,90.6,194,111.3
Bega Valley,Stable,67,198.5,57,167.7,75,219.4,71,206.7,50,145.6
Bellingen,n.c.,10,77.3,17,131.3,18,139.0,26,200.6,23,177.4
Berrigan,n.c.,8,93.4,8,92.8,11,126.9,22,252.7,17,195.2
Blacktown,Up 2.5% per year,630,184.4,592,168.7,656,182.2,710,193.7,745,203.3
Bland,n.c.,10,166.0,10,166.3,20,334.0,10,167.1,10,167.1
Blayney,n.c.,11,150.1,15,204.3,20,272.2,14,190.7,11,149.8
Blue Mountains,Stable,118,149.6,146,185.1,150,189.7,138,174.1,135,170.3
Bogan,n.c.,9,n.c.,4,n.c.,9,n.c.,5,n.c.,6,n.c.
Bourke,n.c.,17,n.c.,35,n.c.,31,n.c.,27,n.c.,38,n.c.
Brewarrina,n.c.,13,n.c.,15,n.c.,14,n.c.,20,n.c.,18,n.c.
Broken Hill,Stable,60,328.1,55,304.6,61,341.6,56,315.8,53,298.9
Burwood,Down 8.6% per year,41,107.8,44,113.5,41,103.7,33,82.7,30,75.2
Byron,Stable,64,194.3,70,208.3,90,263.3,95,274.8,98,283.4
Cabonne,Stable,24,177.4,25,184.0,23,168.8,34,248.5,21,153.5
Camden,Stable,105,139.8,126,151.5,119,134.2,102,108.3,138,146.6
Campbelltown,Stable,384,241.0,347,213.7,334,201.7,422,251.0,417,248.0
Canada Bay,Stable,62,68.1,51,54.9,73,77.3,77,80.9,75,78.8
Canterbury-Bankstown,Up 5.9% per year,339,94.8,344,94.5,372,100.6,420,112.3,446,119.3
Carrathool,n.c.,6,n.c.,6,n.c.,8,n.c.,10,n.c.,7,n.c.
Central Coast,Stable,596,178.3,679,201.3,701,206.1,690,201.7,685,200.3
Central Darling,n.c.,11,n.c.,7,n.c.,12,n.c.,11,n.c.,13,n.c.
Cessnock,Stable,120,213.8,129,226.3,150,258.5,158,267.3,153,258.9
Clarence Valley,Stable,115,223.0,94,182.1,101,195.7,95,183.9,116,224.6
Cobar,n.c.,14,292.2,10,210.3,20,422.6,21,444.7,13,275.3
Coffs Harbour,Stable,211,285.4,231,308.3,262,345.3,244,318.7,206,269.1
Coolamon,n.c.,11,251.4,9,205.0,7,159.5,7,160.3,9,206.0
Coonamble,n.c.,12,295.0,11,271.7,17,421.9,20,498.3,25,622.8
Cootamundra-Gundagai,Stable,34,300.9,22,195.2,22,195.5,30,266.4,28,248.7
Cowra,Stable,28,221.9,43,339.2,32,251.8,32,250.6,22,172.3
Cumberland,Stable,260,116.9,268,117.8,301,129.2,232,97.9,266,112.3
Dubbo Regional,Stable,168,329.5,177,343.4,196,373.9,190,356.9,171,321.2
Dungog,n.c.,20,220.9,9,98.7,18,195.3,18,192.6,16,171.2
Edward River,n.c.,30,333.0,29,322.8,24,267.8,21,233.5,14,155.6
Eurobodalla,Stable,99,262.1,62,163.3,76,199.3,70,182.8,81,211.6
Fairfield,Up 5.1% per year,217,106.3,189,91.5,270,129.2,287,136.3,273,129.6
Federation,n.c.,20,160.4,18,144.6,20,160.6,20,160.5,17,136.4
Forbes,n.c.,23,235.2,20,203.5,15,152.0,31,312.8,32,322.9
Georges River,Stable,113,74.6,108,70.1,127,81.0,156,98.5,139,87.7
Gilgandra,n.c.,10,230.5,15,349.3,16,376.9,13,307.6,15,354.9
Glen Innes Severn,Stable,31,347.3,29,324.7,32,358.8,29,325.6,29,325.6
Goulburn Mulwaree,Stable,63,210.4,77,253.7,91,297.0,87,282.0,83,269.0
Greater Hume Shire,n.c.,23,219.7,22,208.7,20,188.2,24,224.6,14,131.0
Griffith,Stable,46,175.4,48,181.6,37,138.7,55,204.6,60,223.2
Gunnedah,Stable,45,361.2,29,231.8,35,277.3,23,181.7,44,347.5
Gwydir,n.c.,16,301.0,6,112.7,11,206.4,13,243.0,12,224.3
Hawkesbury,Stable,131,198.5,114,171.5,127,190.1,145,216.2,115,171.4
Hay,n.c.,7,n.c.,9,n.c.,8,n.c.,9,n.c.,24,n.c.
Hilltops,Stable,54,287.9,57,303.9,78,415.6,54,287.5,48,255.6
Hornsby,Stable,116,79.2,117,79.2,140,93.6,181,120.1,126,83.6
Hunters Hill,n.c.,17,116.6,11,74.8,15,101.3,15,100.6,10,67.1
Inner West,Stable,239,126.2,236,122.8,252,128.8,277,139.9,288,145.4
Inverell,Stable,48,286.6,63,374.6,52,308.9,65,385.9,51,302.8
Junee,n.c.,21,330.1,14,218.0,10,153.2,9,135.7,10,150.8
Kempsey,Stable,94,319.8,69,234.2,89,300.9,77,259.6,90,303.4
Kiama,n.c.,20,91.1,22,98.9,22,97.3,7,30.4,19,82.6
Ku-Ring-Gai,Up 19.1% per year,56,46.1,90,73.3,85,68.1,83,65.8,117,92.8
Kyogle,n.c.,15,163.5,24,264.0,15,168.1,35,394.6,32,360.8
Lachlan,Stable,23,357.5,23,363.5,26,419.0,20,325.2,25,406.4
Lake Macquarie,Up 4.0% per year,414,205.4,369,182.0,433,212.3,465,226.9,492,240.1
Lane Cove,n.c.,20,54.8,19,50.0,31,79.7,48,121.6,19,48.1
Leeton,Stable,29,254.2,25,219.0,43,376.3,28,244.8,35,306.0
Lismore,Stable,133,301.0,193,437.8,124,282.4,153,349.0,152,346.7
Lithgow,Stable,43,200.8,38,176.7,41,189.9,57,263.4,67,309.7
Liverpool Plains,n.c.,25,318.9,20,254.6,19,241.2,13,164.7,19,240.7
Lockhart,n.c.,4,127.1,2,63.0,5,153.8,8,242.8,6,182.1
Lord Howe Island,n.c.,0,n.c.,5,n.c.,0,n.c.,4,n.c.,0,n.c.
Maitland,Up 3.1% per year,186,239.3,166,208.0,174,213.2,205,246.4,225,270.4
Mid-Coast,Stable,268,293.8,264,287.0,247,266.1,214,229.4,242,259.4
Mid-Western Regional,Stable,54,221.1,67,271.9,67,269.1,47,187.4,73,291.0
Moree Plains,Stable,71,518.5,61,449.7,68,505.5,35,262.2,83,621.7
Mosman,n.c.,17,56.4,28,92.3,31,101.1,24,77.7,23,74.5
Murray River,n.c.,11,93.5,6,50.5,5,41.7,22,181.5,19,156.8
Murrumbidgee,n.c.,5,128.4,10,254.5,10,252.6,14,353.4,16,403.9
Muswellbrook,Stable,45,273.7,40,243.0,48,292.1,50,305.2,53,323.5
Nambucca,Stable,61,311.9,73,372.1,71,360.1,90,455.2,60,303.4
Narrabri,Up 7.6% per year,22,163.8,26,194.9,23,173.4,42,317.4,29,219.2
Narrandera,n.c.,9,150.8,14,235.4,16,269.6,24,404.7,13,219.2
Narromine,n.c.,11,165.4,25,378.6,24,364.7,26,395.9,23,350.2
Newcastle,Up 7.7% per year,305,190.7,398,246.9,450,276.4,374,227.9,421,256.5
North Sydney,Stable,57,80.2,65,90.1,87,118.7,91,122.7,70,94.4
Northern Beaches,Up 6.5% per year,213,80.9,201,75.5,226,83.9,293,108.0,282,104.0
Oberon,n.c.,11,206.1,9,168.0,9,166.5,6,110.9,7,129.4
Orange,Up 8.6% per year,126,308.0,122,295.7,168,403.5,155,368.6,180,428.0
Parkes,Stable,43,287.7,55,368.6,49,328.7,63,423.0,41,275.3
Parramatta,Stable,278,121.2,275,116.2,324,132.0,331,131.7,300,119.4
Penrith,Stable,388,195.2,408,201.4,454,220.2,450,215.1,467,223.2
Port Macquarie-Hastings,Stable,154,194.1,139,172.8,129,157.5,178,214.1,160,192.5
Port Stephens,Up 8.2% per year,145,205.7,143,200.7,153,212.7,182,250.4,205,282.0
Queanbeyan-Palerang Regional,Stable,59,102.9,58,99.8,61,103.3,79,131.8,91,151.8
Randwick,Up 5.7% per year,150,101.6,161,107.4,167,109.4,191,123.8,196,127.1
Richmond Valley,Stable,79,340.9,77,330.8,73,312.7,82,350.4,109,465.8
Ryde,Stable,94,79.1,106,86.6,138,109.9,118,92.6,101,79.2
Shellharbour,Stable,123,176.7,141,199.8,122,170.7,119,164.7,165,228.4
Shoalhaven,Stable,256,253.7,216,211.4,255,246.8,215,206.0,245,234.7
Singleton,Up 12.9% per year,26,110.2,42,178.3,55,234.2,49,209.2,42,179.3
Snowy Monaro Regional,Stable,43,209.6,39,189.4,40,193.4,38,183.3,43,207.4
Snowy Valleys,Stable,42,287.1,29,198.6,45,309.2,49,337.2,42,289.0
Strathfield,Stable,35,84.1,52,122.1,43,97.3,52,115.2,38,84.2
Sutherland Shire,Stable,185,82.0,252,111.1,200,87.7,220,96.0,271,118.2
Sydney,Up 4.5% per year,557,257.3,548,243.1,811,345.2,711,296.0,737,306.8
Tamworth Regional,Stable,162,267.4,159,260.0,157,254.2,202,325.0,193,310.5
Temora,n.c.,8,129.3,10,160.9,4,63.9,6,95.6,12,191.3
Tenterfield,n.c.,20,298.1,13,194.3,12,180.3,12,180.8,13,195.8
The Hills Shire,Stable,110,68.9,134,81.6,115,68.0,135,78.3,141,81.8
Tweed,Stable,122,131.7,130,138.2,136,142.6,124,129.0,138,143.6
Unincorporated Far West,n.c.,3,n.c.,3,n.c.,2,n.c.,1,n.c.,4,n.c.
Upper Hunter Shire,Up 5.3% per year,28,194.4,28,195.5,31,217.4,28,196.9,34,239.1
Upper Lachlan Shire,n.c.,17,217.6,5,63.6,11,138.8,15,188.4,12,150.7
Uralla,n.c.,20,324.5,20,325.6,12,197.0,17,280.4,21,346.4
Wagga Wagga,Stable,157,247.3,138,215.6,152,235.6,186,286.9,187,288.5
Walcha,n.c.,7,223.7,6,191.0,14,445.4,28,894.0,17,542.8
Walgett,n.c.,37,577.4,27,431.4,19,309.3,32,528.8,27,446.2
Warren,n.c.,1,n.c.,41,n.c.,10,n.c.,6,n.c.,9,n.c.
Warrumbungle Shire,Stable,23,239.6,53,555.8,38,402.6,25,266.0,32,340.5
Waverley,Up 14.7% per year,76,106.2,83,114.6,105,142.8,105,141.7,136,183.5
Weddin,n.c.,14,379.9,7,191.1,4,109.9,3,82.5,6,165.0
Wentworth,n.c.,18,260.6,22,316.3,16,228.7,28,397.6,18,255.6
Willoughby,Stable,66,86.3,68,86.8,81,101.4,80,99.6,61,75.9
Wingecarribee,Stable,96,198.8,60,121.9,77,154.3,93,184.2,112,221.8
Wollondilly,Stable,75,153.3,94,187.3,48,93.5,78,149.3,106,202.9
Wollongong,Up 3.5% per year,314,150.3,282,133.5,324,151.4,348,161.1,373,172.6
Woollahra,Stable,51,88.6,66,113.8,58,99.0,58,98.4,70,118.7
Yass Valley,n.c.,17,103.5,20,120.5,19,113.2,33,194.7,24,141.6
