Incidents of Theft from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
New South Wales,Down 2.4% per year,235696,3082.8,232108,2988.8,223875,2834.5,223176,2793.8,223746,2800.9
Liverpool,Down 4.2% per year,7283,3507.9,6932,3249.2,6414,2929.1,6063,2715.1,6598,2954.7
Albury,Up 10.7% per year,2022,3912.7,2379,4540.8,2368,4452.5,2428,4515.8,3154,5866.1
Armidale Regional,Stable,1602,5299.1,1751,5762.7,1442,4705.1,1376,4481.1,1399,4556.0
Ballina,Stable,965,2268.7,1168,2708.5,1146,2624.7,1129,2553.8,1127,2549.3
Balranald,n.c.,91,n.c.,56,n.c.,46,n.c.,69,n.c.,54,n.c.
Bathurst Regional,Down 5.7% per year,1737,4151.5,1682,3969.7,1294,3015.9,1295,2997.3,1417,3279.6
Bayside,Down 4.8% per year,4271,2662.2,3855,2323.2,3828,2235.1,3833,2198.1,3812,2186.1
Bega Valley,Stable,575,1701.9,706,2077.4,627,1833.9,583,1697.3,621,1808.0
Bellingen,Stable,215,1661.5,218,1683.3,235,1814.1,272,2098.3,217,1674.0
Berrigan,Stable,138,1608.5,136,1576.0,130,1498.2,193,2216.6,169,1941.0
Blacktown,Stable,12056,3529.8,12233,3489.7,13192,3664.0,13244,3613.3,12612,3440.9
Bland,Stable,96,1593.0,102,1695.3,117,1954.2,87,1453.6,95,1587.3
Blayney,Stable,135,1842.7,217,2954.7,114,1551.4,175,2383.5,190,2587.9
Blue Mountains,Stable,1435,1819.3,1282,1625.3,1253,1584.5,1468,1852.1,1166,1471.1
Bogan,n.c.,133,n.c.,114,n.c.,107,n.c.,98,n.c.,114,n.c.
Bourke,n.c.,465,n.c.,486,n.c.,341,n.c.,290,n.c.,295,n.c.
Brewarrina,n.c.,81,n.c.,156,n.c.,149,n.c.,131,n.c.,70,n.c.
Broken Hill,Up 7.4% per year,692,3783.4,865,4790.5,769,4308.1,931,5249.8,892,5029.9
Burwood,Down 5.6% per year,1597,4202.5,1476,3813.2,1364,3455.3,1370,3434.8,1333,3342.0
Byron,Down 4.1% per year,1344,4076.6,1470,4384.7,1260,3689.9,1113,3219.2,1192,3447.7
Cabonne,Stable,251,1855.3,174,1280.8,215,1577.7,255,1864.0,233,1703.2
Camden,Down 2.2% per year,1278,1692.1,1410,1725.0,1338,1506.1,1455,1545.3,1459,1549.5
Campbelltown,Down 2.0% per year,5560,3489.6,5457,3362.7,4741,2864.2,5000,2973.7,5416,3221.1
Canada Bay,Down 6.0% per year,2047,2249.5,2086,2244.2,1899,2011.0,1758,1847.4,1671,1756.0
Canterbury-Bankstown,Down 5.1% per year,9205,2574.0,8368,2302.3,7916,2141.4,7348,1965.1,7794,2084.3
Carrathool,n.c.,67,n.c.,71,n.c.,62,n.c.,78,n.c.,71,n.c.
Central Coast,Down 1.2% per year,9558,2860.7,10101,2994.9,8881,2611.8,9112,2664.0,9339,2730.3
Central Darling,n.c.,103,n.c.,186,n.c.,97,n.c.,98,n.c.,110,n.c.
Cessnock,Down 2.9% per year,2618,4665.0,2592,4553.3,2439,4211.8,2512,4250.4,2454,4152.2
Clarence Valley,Down 5.5% per year,1802,3494.5,1753,3396.3,1643,3183.4,1601,3099.9,1438,2784.3
Cobar,Down 6.0% per year,250,5219.0,229,4803.1,153,3233.8,137,2901.3,192,4066.1
Coffs Harbour,Up 0.8% per year,2581,3489.8,2257,3015.1,2707,3570.6,2929,3826.2,2755,3598.9
Coolamon,Stable,80,1830.7,70,1594.3,72,1641.3,59,1350.7,74,1694.1
Coonamble,Stable,382,9367.7,348,8599.8,305,7567.0,399,9940.2,341,8495.3
Cootamundra-Gundagai,Stable,247,2186.0,314,2783.8,309,2746.1,313,2779.8,256,2273.5
Cowra,Stable,476,3772.2,505,3987.1,445,3500.0,384,3007.8,429,3360.2
Cumberland,Down 3.5% per year,6662,2998.0,6093,2681.5,6325,2713.7,6038,2548.8,6157,2599.1
Dubbo Regional,Stable,3202,6275.8,4008,7772.3,2887,5504.3,3303,6204.0,3341,6275.4
Dungog,Stable,149,1649.0,140,1534.7,117,1266.7,107,1144.9,178,1904.6
Edward River,Stable,207,2298.1,270,3006.5,221,2465.4,300,3335.2,256,2846.0
Eurobodalla,Stable,1150,3043.2,1102,2903.1,1034,2710.3,1062,2773.7,1083,2828.6
Fairfield,Down 2.5% per year,5107,2502.9,4790,2320.1,4588,2194.0,4654,2209.8,4772,2265.8
Federation,Stable,363,2912.8,275,2209.5,290,2328.8,294,2359.2,321,2575.8
Forbes,Stable,472,4830.8,369,3753.5,351,3554.3,385,3885.0,476,4803.2
Georges River,Down 3.3% per year,3081,2032.2,2705,1757.3,2746,1750.4,2798,1766.3,2819,1779.5
Gilgandra,Stable,205,4730.5,120,2798.2,178,4198.2,133,3147.2,145,3431.1
Glen Innes Severn,Down 7.1% per year,276,3091.2,462,5173.1,248,2780.3,242,2716.7,205,2301.3
Goulburn Mulwaree,Stable,699,2336.5,791,2607.1,807,2633.0,784,2541.2,731,2369.4
Greater Hume Shire,Stable,158,1509.9,147,1395.2,183,1721.9,153,1431.8,177,1656.4
Griffith,Stable,1191,4544.0,976,3695.2,1075,4031.1,942,3504.2,1097,4080.8
Gunnedah,Stable,540,4335.1,319,2548.2,404,3204.4,499,3941.2,434,3427.8
Gwydir,Stable,86,1619.8,89,1671.5,92,1727.7,114,2131.2,96,1794.7
Hawkesbury,Down 4.1% per year,1551,2349.4,1735,2612.3,1283,1921.3,1428,2128.7,1335,1990.1
Hay,n.c.,135,n.c.,99,n.c.,91,n.c.,108,n.c.,97,n.c.
Hilltops,Stable,412,2196.3,435,2318.9,424,2258.8,404,2151.0,360,1916.7
Hornsby,Stable,2134,1457.3,2271,1535.4,2266,1515.4,2290,1519.1,2368,1570.8
Hunters Hill,Up 8.7% per year,213,1463.0,248,1689.0,236,1595.5,299,2005.5,304,2039.0
Inner West,Down 5.3% per year,5892,3112.7,5438,2831.6,4814,2462.1,5088,2569.4,4950,2499.7
Inverell,Stable,541,3229.6,600,3568.3,709,4212.1,630,3740.2,596,3538.4
Junee,Stable,119,1873.7,123,1910.1,131,2003.0,107,1613.6,100,1508.1
Kempsey,Stable,1430,4865.0,1374,4663.4,1347,4553.7,1697,5720.5,1307,4405.9
Kiama,Down 5.1% per year,403,1836.1,415,1868.1,387,1713.0,299,1299.7,342,1486.6
